Time,Steps,PROCESS_CPU,PROCESS_IO,Total Reward,Avg Reward,CPU Queue,IO Queue
23:20:30,0,0,0,0,0,27,3
23:20:35,2,2,0,5,2.5,446,68
23:20:40,4,3,1,15,3.75,446,67
23:20:45,5,4,1,45,9.0,444,67
23:20:50,7,6,1,55,7.857142857142857,443,66
23:20:55,9,7,2,90,10.0,441,66
23:21:00,11,9,2,100,9.090909090909092,441,66
23:21:05,13,10,3,135,10.384615384615385,440,65
23:21:10,14,11,3,140,10.0,438,66
23:21:15,16,12,4,150,9.375,437,65
23:21:20,18,14,4,185,10.277777777777779,435,65
23:21:25,20,15,5,195,9.75,434,64
23:21:30,22,17,5,230,10.454545454545455,437,63
23:21:35,24,18,6,240,10.0,437,62
23:21:40,25,19,6,270,10.8,436,62
23:21:45,27,21,6,280,10.37037037037037,434,62
23:21:50,29,22,7,315,10.862068965517242,434,62
23:21:55,30,23,7,320,10.666666666666666,431,62
23:22:00,32,24,8,330,10.3125,431,61
23:22:05,34,26,8,365,10.735294117647058,428,61
23:22:10,36,27,9,375,10.416666666666666,428,60
23:22:15,38,29,9,410,10.789473684210526,427,60
23:22:20,40,30,10,420,10.5,426,59
23:22:25,41,31,10,450,10.975609756097562,424,59
23:22:30,43,33,10,460,10.69767441860465,423,58
23:22:35,45,34,11,495,11.0,422,58
23:22:40,47,36,11,505,10.74468085106383,421,58
23:22:45,49,37,12,540,11.020408163265307,420,57
23:22:50,50,38,12,545,10.9,418,57
23:22:55,52,39,13,555,10.673076923076923,417,56
23:23:00,54,41,13,590,10.925925925925926,415,56
23:23:05,56,42,14,600,10.714285714285714,414,55
23:23:10,58,44,14,635,10.948275862068966,413,55
23:23:15,60,45,15,645,10.75,413,54
23:23:20,61,46,15,675,11.065573770491802,410,54
23:23:25,63,48,15,685,10.873015873015873,410,53
23:23:30,65,49,16,720,11.076923076923077,407,53
23:23:35,67,51,16,730,10.895522388059701,408,53
23:23:40,69,52,17,760,11.014492753623188,406,52
23:23:45,70,53,17,765,10.928571428571429,405,52
23:23:50,72,54,18,790,10.972222222222221,403,52
23:23:55,74,56,18,820,11.08108108108108,402,52
23:24:00,76,57,19,845,11.118421052631579,400,51
23:24:05,78,59,19,895,11.474358974358974,401,51
23:24:10,80,60,20,920,11.5,399,50
23:24:15,81,61,20,945,11.666666666666666,398,50
23:24:20,83,63,20,985,11.867469879518072,396,49
23:24:25,85,64,21,1015,11.941176470588236,395,49
23:24:30,87,66,21,1055,12.126436781609195,393,49
23:24:35,89,67,22,1100,12.359550561797754,393,48
23:24:40,90,68,22,1120,12.444444444444445,390,48
23:24:45,92,69,23,1160,12.608695652173912,390,47
23:24:50,94,71,23,1205,12.819148936170214,388,47
23:24:55,96,72,24,1245,12.96875,388,46
23:25:00,98,74,24,1290,13.16326530612245,387,46
23:25:05,100,75,25,1330,13.3,386,45
23:25:10,101,76,25,1355,13.415841584158416,384,45
23:25:15,103,78,25,1395,13.54368932038835,383,44
23:25:20,105,79,26,1440,13.714285714285714,381,44
23:25:25,107,81,26,1480,13.83177570093458,380,44
23:25:30,109,82,27,1525,13.990825688073395,379,43
23:25:35,110,83,27,1545,14.045454545454545,377,43
23:25:40,112,84,28,1585,14.151785714285714,376,42
23:25:45,114,86,28,1630,14.298245614035087,374,43
23:25:50,116,87,29,1670,14.39655172413793,373,42
23:25:55,118,89,29,1715,14.533898305084746,370,37
23:26:00,120,90,30,1755,14.625,368,36
23:26:05,121,91,30,1780,14.710743801652892,368,37
23:26:10,123,93,30,1820,14.796747967479675,366,36
23:26:15,125,94,31,1865,14.92,365,36
23:26:20,127,96,31,1905,15.0,363,36
23:26:25,129,97,32,1950,15.116279069767442,363,35
23:26:30,130,98,32,1970,15.153846153846153,364,35
23:26:35,132,99,33,2010,15.227272727272727,363,34
23:26:40,134,101,33,2055,15.335820895522389,361,34
23:26:45,136,102,34,2095,15.404411764705882,360,33
23:26:50,138,104,34,2140,15.507246376811594,359,33
