pid,utime,stime,priority,mem_usage
0,0.0,0.0,0,0
1,0.0,0.0,0,0
296,0.0,0.0,0,0
298,0.0,0.0,0,0
300,0.0,0.0,0,0
301,0.0,0.0,0,0
304,0.0,0.0,0,0
307,0.0,0.0,0,0
309,0.0,0.0,0,0
310,0.0,0.0,0,0
314,0.0,0.0,0,0
319,0.0,0.0,0,0
323,0.0,0.0,0,0
325,0.0,0.0,0,0
326,0.0,0.0,0,0
329,0.0,0.0,0,0
330,0.0,0.0,0,0
333,0.0,0.0,0,0
334,0.0,0.0,0,0
336,0.0,0.0,0,0
337,0.0,0.0,0,0
338,0.0,0.0,0,0
339,0.0,0.0,0,0
340,0.0,0.0,0,0
342,0.0,0.0,0,0
345,0.0,0.0,0,0
346,0.0,0.0,0,0
348,0.0,0.0,0,0
352,0.0,0.0,0,0
353,0.0,0.0,0,0
354,0.0,0.0,0,0
358,0.0,0.0,0,0
360,0.0,0.0,0,0
361,0.0,0.0,0,0
362,0.0,0.0,0,0
364,0.0,0.0,0,0
366,0.0,0.0,0,0
367,241.871896576,133.585854464,0,25657344
368,0.0,0.0,0,0
369,0.0,0.0,0,0
370,0.0,0.0,0,0
371,0.0,0.0,0,0
373,0.0,0.0,0,0
374,0.0,0.0,0,0
376,0.0,0.0,0,0
383,0.0,0.0,0,0
384,0.0,0.0,0,0
386,0.0,0.0,0,0
387,0.0,0.0,0,0
388,0.0,0.0,0,0
389,0.0,0.0,0,0
396,0.0,0.0,0,0
404,0.0,0.0,0,0
406,0.0,0.0,0,0
407,0.0,0.0,0,0
408,0.0,0.0,0,0
409,0.0,0.0,0,0
412,0.0,0.0,0,0
413,0.0,0.0,0,0
416,0.0,0.0,0,0
418,0.0,0.0,0,0
462,0.0,0.0,0,0
465,0.0,0.0,0,0
475,0.0,0.0,0,0
484,0.0,0.0,0,0
485,0.0,0.0,0,0
486,0.0,0.0,0,0
493,0.0,0.0,0,0
496,0.0,0.0,0,0
497,0.0,0.0,0,0
498,0.0,0.0,0,0
502,0.0,0.0,0,0
503,0.0,0.0,0,0
505,0.0,0.0,0,0
506,0.0,0.0,0,0
511,0.0,0.0,0,0
515,0.0,0.0,0,0
520,0.0,0.0,0,0
521,0.0,0.0,0,0
522,0.0,0.0,0,0
523,0.0,0.0,0,0
527,0.0,0.0,0,0
528,173.818445824,23.653681152,0,4521984
529,88.75814912,99.700842496,0,4521984
531,0.0,0.0,0,0
532,0.0,0.0,0,0
533,0.0,0.0,0,0
534,0.0,0.0,0,0
535,168.12408832,53.982298112,0,7815168
540,13.518813184,8.302860288,0,9732096
541,7.841092096,2.680465152,0,9371648
542,402.447335424,96.575864832,0,19333120
544,22.503974912,14.230524928,0,10403840
545,100.399931392,34.244739072,0,8028160
549,492.826198016,56.180441088,0,31752192
551,87.89512192,46.366523392,0,22085632
552,0.985370496,0.98594144,0,8093696
553,3560.235597824,1346.038792192,0,67502080
554,10.191169536,4.514516992,0,5701632
555,619.490574336,769.453195264,0,78790656
557,20.673933312,21.409695744,0,9764864
560,55.520137216,13.741441024,0,11862016
561,14.091029504,7.172506112,0,13172736
563,60.3116544,37.338718208,0,12484608
566,248.820711424,34.004097024,0,10223616
567,21.791285248,9.347765248,0,13844480
568,0.0,0.0,0,0
569,1.199606144,1.100341632,0,6455296
570,280.42248192,130.074525696,0,18169856
572,0.0,0.0,0,0
573,0.0,0.0,0,0
574,0.19627816,0.226306336,0,3915776
577,135.915462656,28.831750144,0,9715712
578,91.168546816,29.414787072,0,11026432
581,35.193802752,14.421630976,0,22085632
582,182.343450624,96.088211456,0,9961472
585,9.66738432,7.615408128,0,5947392
586,13.723027456,14.667285504,0,2736128
591,12.371851264,13.565638656,0,11091968
592,15.333781504,10.94007296,0,7700480
593,143.06033664,34.398171136,0,10862592
594,150.469410816,69.004197888,0,21528576
595,11.351083008,7.07760384,0,7012352
596,21.064585216,6.034282496,0,9043968
597,103.6023808,31.230859264,0,18825216
604,7.408533504,0.917528768,0,4997120
606,0.0,0.0,0,0
607,4.759608832,3.334729728,0,5799936
611,93.879959552,43.926687744,0,5832704
613,0.0,0.0,0,0
618,0.0,0.0,0,0
619,3.506154752,2.426426368,0,7192576
620,10.643567616,4.99043584,0,8536064
621,24.333508608,10.304753664,0,8683520
622,32.97921024,8.494684672,0,14778368
624,0.0,0.0,0,0
631,89.112928256,8.623946752,0,8257536
633,33.880025088,35.922632704,0,4014080
634,74.653499392,24.453699584,0,13287424
635,98.555543552,58.501832704,0,9879552
639,455.884865536,150.73714176,0,22511616
640,111.396569088,36.884283392,0,13991936
644,0.14016008,0.339314912,0,245760
648,65.811632128,36.778651648,0,9814016
651,741.46152448,136.099463168,0,11649024
653,1338.190200832,206.762016768,0,78725120
654,0.278265696,0.268498176,0,5963776
656,51.502845952,19.683172352,0,8372224
657,0.162038576,0.198618288,0,2719744
662,11.537581056,4.093870848,0,5095424
664,71.770669056,25.8070528,0,13811712
665,3.802634496,2.638070784,0,5849088
666,17.096968192,6.304322048,0,8716288
670,0.0,0.0,0,0
672,271.135571968,44.708892672,0,176209920
673,591.702065152,105.317113856,0,14729216
678,112.856776704,61.187072,0,61931520
679,0.054100832,0.063329584,0,1785856
680,27.840929792,15.290657792,0,14729216
684,0.0,0.0,0,0
688,17.571760128,8.04221952,0,9830400
689,6.115625984,2.267897344,0,7225344
692,51.07843072,12.330179584,0,18251776
696,10.834420736,4.189534208,0,7782400
698,28.496840704,11.272860672,0,13516800
699,74.378010624,18.984996864,0,20135936
701,14.265166848,6.332888576,0,6455296
704,6.430978048,4.060523776,0,10289152
712,3.830441472,2.06395328,0,2441216
714,0.967704384,0.425045408,0,3883008
718,359.082098688,122.370883584,0,13844480
721,0.0,0.0,0,0
732,0.0,0.0,0,0
736,0.062233876,0.22209392,0,1933312
